front,back
tee,ゴルフのティー
tenure,在職期間
termination,満了 終了
terminus,終点
theology,神学 神論
tingle,ひりひりする痛み
tinker,鋳掛け屋
tint,色 ほのかな色
toddler,よちよち歩く人
tract,広大な土地 広がり
trance,失神
tranquility,静けさ
transient,短期滞在客
transistor,トランジスター
trauma,精神的外傷
treachery,裏切り 背信（行為）
treatise,論文
trek,行程 （⻑くて辛い）旅
trespass,侵入 侵害訴訟
trimming,飾り 添え物
turbulence,乱気流
ulcer,潰瘍 病幣
undercut,下部を切り取ること
underside,下側
unionist,労働組合主義者
upheaval,大変動 動乱
uprising,反乱 上り坂
upside,上面 上昇傾向
urine,尿
usher,案内係
variant,異形
varnish,ニス ごまかし
vault,地下室
veal,子牛の肉
venue,開催地
veto,拒否権
vicar,教区牧師
vintage,ぶどう酒
visionary,空想家
vista,展望 回想 追憶
volley,一⻫射撃
wager,賭け 賭け金
wedge,くさび
weld,溶接
wharf,波止場
whim,気まぐれ
wig,かつら
wince,ひるみ
wreckage,難破貨物 残骸
wrench,ぐいとねじること レンチ
wrestler,レスラー
wretch,恥知らずな人
yoga,ヨガ
apologetic,謝罪の すまなそうな
appalling,とてもひどい
ardent,熱烈な 熱心な
arduous,困難な 骨の折れる
attempted,未遂の
attributable,起因する
audible,聞き取れる
autonomous,自治の 自主的な
bacterial,バクテリアの
beastly,いやな
benevolent,慈悲深い 優しい
benign,温和な 優しい
bland,温和な 刺激のない
bony,骨ばった
boyish,少年のような
bureaucratic,官僚的な
calculating,抜け目のない
causal,原因の 因果関係の
ceramic,陶器の
ceremonious,儀式を重んじる
clockwise,時計回りの
colloquial,口語的な
colossal,巨大な
communal,共同社会の 自治体の
complementary,補足的な
consecutive,連続的な
counterclockwise,左回り 反時計方向
crafty,ずる賢い
creditable,賞賛に値する
creepy,むずむずする ぞっとする
crossed,十文字に置いた 交差した
cumulative,累積する
defiant,反抗的な
definitive,決定的な 最終的な
deserving,値する
devout,信心深い
diminutive,小さい 小型の
disadvantaged,恵まれない
discernible,認められる 識別できる
disgraceful,恥ずべき
disorderly,秩序を乱す
dissident,意見を異にす 反体制の
divisional,部分的な
dormant,休眠中の 休止中の
dual,二重の
dusky,陰うつな
eerie,気味の悪い
egocentric,自己中心的な
egotistic,自己中心癖の
elevated,気高い
eligible,適格で
elusive,捕らえにくい
enigmatic,不思議な 不可解な
existential,存在の 実存主義の
expressly,はっきりと 明白に
facile,容易な
fateful,運命を決する
faulty,欠陥のある
feasible,実行可能な
ferocious,猛烈な
figurative,比喩的な
flattering,お世辞の
focal,焦点の
foremost,第一の 一流の
fraught,はらんで 伴って
freshwater,淡水の
frosty,霜の降りる 凍る寒さの
fruitless,実を結ばない
gallant,勇敢な
gastric,胃の
genial,親切な
ghostly,幽霊のような
gingerly,用心深い
glamorous,魅力に満ちた
glossy,光沢のある
greasy,油でよごれた
groundless,根拠のない
guiltless,罪のない
hale,元気のいい
haughty,高慢な
haunted,幽霊の出る
heartless,無情な
herbal,薬草の 草の
hideous,ぞっとするような
homely,家庭的な 魅力の無い
immovable,動かせない
impending,差し迫った
incomparable,比較できない 無比の
incompetent,無能な
inconspicuous,目立たない 地味な
indefinite,不明確な
indistinct,はっきりしない
infamous,悪名高い
inflammatory,怒りをかきたてる
interdependent,互いに頼り合う
invariable,不変の
investigative,調査の
invincible,無敵の
latent,隠れている 見えない
laughable,おかしい
lax,だらしのない
longstanding,積年の
lousy,ひどい 劣った
malignant,悪性の 有害な
manageable,扱いやすい
managerial,経営上の
mandatory,義務的な 強制の
maritime,海の
